Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
1222;2 BD SOULT;75012;Paris;2008;ELOGIE;2;0;2;0;0;acquisition réhabilitation;;12;logement familial;656510.7619;6859710.344;"{""type"": ""Point"", ""coordinates"": [2.407520472855766, 48.83597746261295]}";48.8359774626,2.40752047286
1026;22-24, BD MASSENA;75013;Paris;2008;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;13;logement familial;654035.8199;6858321.922;"{""type"": ""Point"", ""coordinates"": [2.373954219081963, 48.82331942382637]}";48.8233194238,2.37395421908
1028;69 RUE DE CLERY;75002;Paris;2008;FREHA;2;2;0;0;0;acquisition réhabilitation;;2;maison relais;652297.8347;6863425.472;"{""type"": ""Point"", ""coordinates"": [2.349710948030785, 48.86908932443646]}";48.8690893244,2.34971094803
800;1-3, RUE LABOIS ROUILLON;75019;Paris;2007;LOGIREP;46;46;0;0;0;construction neuve;;19;foyer pour jeunes travailleurs ou résidence pour jeunes;654022.8428;6866101.472;"{""type"": ""Point"", ""coordinates"": [2.37293603471186, 48.893279302954326]}";48.893279303,2.37293603471
819;179  RUE VERCINGETORIX;75014;Paris;2007;PARIS HAB;9;0;0;0;9;construction neuve;opération abandonnée;14;logement familial;649334.7912;6859280.203;"{""type"": ""Point"", ""coordinates"": [2.309813840536257, 48.83158500425392]}";48.8315850043,2.30981384054
857;3-11 PASSAGE FREQUEL LOT 5;75020;Paris;2007;SIEMP;17;0;0;17;0;construction neuve;;20;logement familial;656150.7686;6862047.748;"{""type"": ""Point"", ""coordinates"": [2.402375253996636, 48.85697342231365]}";48.8569734223,2.402375254
863;15-17, RUE EMILE DUPLOYE (ULS) LOTS 1-3 ET 7;75018;Paris;2007;PARIS HAB;1;1;0;0;0;construction neuve;;18;logement familial;652714.6988;6865670.304;"{""type"": ""Point"", ""coordinates"": [2.355143589838966, 48.88930722057817]}";48.8893072206,2.35514358984
1097;38 RUE NATIONALE;75013;Paris;2008;RIVP;5;3;0;0;2;acquisition réhabilitation;;13;logement familial;653600.9112;6858440.352;"{""type"": ""Point"", ""coordinates"": [2.368017975319081, 48.82435332967706]}";48.8243533297,2.36801797532
1358;FREQUEL FONTARABIE  14 RUE FONTARABIE;75020;Paris;2009;SIEMP;24;0;0;0;24;acquisition réhabilitation;;20;logement familial;656029.176;6862109.973;"{""type"": ""Point"", ""coordinates"": [2.400711685767011, 48.85752472073595]}";48.8575247207,2.40071168577
1319;80-82 RUE DE TOLBIAC;75013;Paris;2009;PAX.P.P.;25;25;0;0;0;construction neuve;;13;maison relais;653424.9092;6858742.902;"{""type"": ""Point"", ""coordinates"": [2.365587722688713, 48.8270615200585]}";48.8270615201,2.36558772269
1330;85 QUAI DE SEINE;75019;Paris;2009;PARIS HAB;48;0;0;0;48;acquisition conventionnement;;19;logement familial;654404.4508;6865627.006;"{""type"": ""Point"", ""coordinates"": [2.378191373516333, 48.88903973629182]}";48.8890397363,2.37819137352
1332;PONIATOWSKI 4 SQUARE DU MASSIF CENTRAL;75012;Paris;2009;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;12;logement familial;655950.7859;6859392.24;"{""type"": ""Point"", ""coordinates"": [2.399924815030426, 48.83307868265668]}";48.8330786827,2.39992481503
1604;30, AV DE LA PORTE DE SAINT OUEN;75018;Paris;2010;PARIS HAB;36;0;0;0;36;construction neuve;;18;logement familial;650882.3311;6866813.285;"{""type"": ""Point"", ""coordinates"": [2.330023478689689, 48.899448387933205]}";48.8994483879,2.33002347869
1446;30-32, RUE DESNOUETTES;75015;Paris;2009;SIEMP;2;0;2;0;0;acquisition réhabilitation;;15;logement familial;647914.2437;6859791.803;"{""type"": ""Point"", ""coordinates"": [2.29040085003887, 48.83607260730695]}";48.8360726073,2.29040085004
1468;4, RUE VOLTAIRE - 3, PASSAGE DUMAS;75011;Paris;2009;ELOGIE;20;4;14;0;2;acquisition réhabilitation;;11;logement familial;655265.0975;6861521.145;"{""type"": ""Point"", ""coordinates"": [2.390360256139809, 48.852176812670145]}";48.8521768127,2.39036025614
1243;26, RUE DE TOURTILLE;75020;Paris;2008;SIEMP;7;3;4;0;0;acquisition réhabilitation;;20;logement familial;654591.9328;6863703.905;"{""type"": ""Point"", ""coordinates"": [2.380953654732458, 48.87175904056905]}";48.8717590406,2.38095365473
1706;GROUPE GRANDS CHAMPS;75020;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;655926.235;6861332.033;"{""type"": ""Point"", ""coordinates"": [2.399389379334721, 48.85052169555701]}";48.8505216956,2.39938937933
1492;7, RUE GUENOT;75011;Paris;2009;RIVP;17;4;9;0;4;construction neuve;;11;logement familial;655394.8456;6861419.273;"{""type"": ""Point"", ""coordinates"": [2.392139058532805, 48.851269675319976]}";48.8512696753,2.39213905853
